sample,fastq_1,fastq_2,strandedness,group
RAGb7_Chow_COL_REST_1,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_Chow_COL_REST_1_S16_R1_001.fastq.gz,,forward,RAGb7_Chow_COL_REST
RAGb7_Chow_COL_REST_2,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_Chow_COL_REST_2_S17_R1_001.fastq.gz,,forward,RAGb7_Chow_COL_REST
RAGb7_Chow_COL_REST_3,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_Chow_COL_REST_3_S18_R1_001.fastq.gz,,forward,RAGb7_Chow_COL_REST
RAGb7_ChowI_MACS_1,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_Chow_SI_MACS_1_S46_R1_001.fastq.gz,,forward,RAGb7_Chow_SI_MACS
RAGb7_ChowI_MACS_2,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_Chow_SI_MACS_2_S47_R1_001.fastq.gz,,forward,RAGb7_Chow_SI_MACS
RAGb7_ChowI_MACS_3,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_Chow_SI_MACS_3_S48_R1_001.fastq.gz,,forward,RAGb7_Chow_SI_MACS
RAGb7_ChowI_REST_1,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_Chow_SI_REST_1_S22_R1_001.fastq.gz,,forward,RAGb7_Chow_SI_REST
RAGb7_ChowI_REST_2,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_Chow_SI_REST_2_S23_R1_001.fastq.gz,,forward,RAGb7_Chow_SI_REST
RAGb7_ChowI_REST_3,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_Chow_SI_REST_3_S24_R1_001.fastq.gz,,forward,RAGb7_Chow_SI_REST
RAGb7_WD_COL_MACS_1,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_COL_MACS_1_S28_R1_001.fastq.gz,,forward,RAGb7_WD_COL_MACS
RAGb7_WD_COL_MACS_2,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_COL_MACS_2_S29_R1_001.fastq.gz,,forward,RAGb7_WD_COL_MACS
RAGb7_WD_COL_MACS_3,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_COL_MACS_3_S30_R1_001.fastq.gz,,forward,RAGb7_WD_COL_MACS
RAGb7_WD_COL_REST_1,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_COL_REST_1_S4_R1_001.fastq.gz,,forward,RAGb7_WD_COL_REST
RAGb7_WD_COL_REST_2,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_COL_REST_2_S5_R1_001.fastq.gz,,forward,RAGb7_WD_COL_REST
RAGb7_WD_COL_REST_3,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_COL_REST_3_S6_R1_001.fastq.gz,,forward,RAGb7_WD_COL_REST
RAGb7_WDI_MACS_1,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_SI_MACS_1_S34_R1_001.fastq.gz,,forward,RAGb7_WD_SI_MACS
RAGb7_WDI_MACS_2,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_SI_MACS_2_S35_R1_001.fastq.gz,,forward,RAGb7_WD_SI_MACS
RAGb7_WDI_MACS_3,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_SI_MACS_3_S36_R1_001.fastq.gz,,forward,RAGb7_WD_SI_MACS
RAGb7_WDI_REST_1,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_SI_REST_1_S10_R1_001.fastq.gz,,forward,RAGb7_WD_SI_REST
RAGb7_WDI_REST_2,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_SI_REST_2_S11_R1_001.fastq.gz,,forward,RAGb7_WD_SI_REST
RAGb7_WDI_REST_3,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAGb7_WD_SI_REST_3_S12_R1_001.fastq.gz,,forward,RAGb7_WD_SI_REST
